,Country,country_code,country,year,HIV_deaths,population,health_budget_prop
416,Uganda,UGA,Uganda,2007,74000.0,29700000.0,9.78
417,Uganda,UGA,Uganda,2008,74000.0,30500000.0,10.6
418,Uganda,UGA,Uganda,2009,69000.0,31500000.0,13.6
419,Uganda,UGA,Uganda,2010,66000.0,32400000.0,12.1
420,Zambia,ZMB,Zambia,2001,68000.0,10300000.0,10.5
421,Zambia,ZMB,Zambia,2002,69000.0,10600000.0,13.6
422,Zambia,ZMB,Zambia,2003,71000.0,11000000.0,13.3
423,Zambia,ZMB,Zambia,2004,70000.0,11300000.0,14.2
424,Zambia,ZMB,Zambia,2005,65000.0,11700000.0,14.7
425,Zambia,ZMB,Zambia,2006,60000.0,12100000.0,16.4
426,Zambia,ZMB,Zambia,2007,49000.0,12600000.0,13.4
427,Zambia,ZMB,Zambia,2008,42000.0,13000000.0,15.3
428,Zambia,ZMB,Zambia,2009,45000.0,13500000.0,15.7
429,Zambia,ZMB,Zambia,2010,,14000000.0,15.6
430,Zimbabwe,ZWE,Zimbabwe,2001,150000.0,12000000.0,9.26
431,Zimbabwe,ZWE,Zimbabwe,2002,160000.0,12100000.0,
432,Zimbabwe,ZWE,Zimbabwe,2003,160000.0,12200000.0,
433,Zimbabwe,ZWE,Zimbabwe,2004,150000.0,12400000.0,
434,Zimbabwe,ZWE,Zimbabwe,2005,150000.0,12500000.0,
435,Zimbabwe,ZWE,Zimbabwe,2006,140000.0,12600000.0,
436,Zimbabwe,ZWE,Zimbabwe,2007,130000.0,12800000.0,
437,Zimbabwe,ZWE,Zimbabwe,2008,110000.0,13000000.0,
438,Zimbabwe,ZWE,Zimbabwe,2009,98000.0,13100000.0,
439,Zimbabwe,ZWE,Zimbabwe,2010,78000.0,13400000.0,
