,Country,country_code,country,year,HIV_deaths,population,health_budget_prop,HIV_mortality
271,Mauritius,MUS,Mauritius,2002,350.0,1230000.0,9.3,28.5
301,Niger,NER,Niger,2002,3400.0,12300000.0,9.9,27.6
351,Sierra Leone,SLE,Sierra Leone,2002,1100.0,4970000.0,7.5,22.1
261,Mauritania,MRT,Mauritania,2002,600.0,2740000.0,10.5,21.9
381,Sudan,SDN,Sudan,2002,6300.0,29200000.0,7.7,21.6
161,Gambia,GMB,Gambia,2002,300.0,1540000.0,8.7,19.5
341,Senegal,SEN,Senegal,2002,1500.0,10500000.0,9.7,14.3
81,Comoros,COM,Comoros,2002,60.0,559000.0,6.8,10.7
231,Madagascar,MDG,Madagascar,2002,1400.0,17500000.0,13.2,8.0
432,Zimbabwe,ZWE,Zimbabwe,2003,160000.0,12200000.0,,1311.5
22,Botswana,BWA,Botswana,2003,17000.0,1780000.0,10.1,955.1
212,Lesotho,LSO,Lesotho,2003,18000.0,1990000.0,8.3,904.5
142,Eswatini,SWZ,Eswatini,2003,8500.0,1070000.0,12.1,794.4
422,Zambia,ZMB,Zambia,2003,71000.0,11000000.0,13.3,645.5
372,South Africa,ZAF,South Africa,2003,300000.0,48500000.0,11.2,618.6
242,Malawi,MWI,Malawi,2003,71000.0,12200000.0,16.7,582.0
292,Namibia,NAM,Namibia,2003,11000.0,1920000.0,11.3,572.9
62,Central African Republic,CAF,Central African Republic,2003,16000.0,4100000.0,12.5,390.2
202,Kenya,KEN,Kenya,2003,130000.0,33700000.0,7.8,385.8
412,Uganda,UGA,Uganda,2003,93000.0,26400000.0,10.0,352.3
392,Tanzania,TZA,Tanzania,2003,130000.0,37100000.0,11.3,350.4
282,Mozambique,MOZ,Mozambique,2003,58000.0,19400000.0,15.0,299.0
102,Cote d'Ivoire,CIV,Cote d'Ivoire,2003,53000.0,19100000.0,4.8,277.5
322,Rwanda,RWA,Rwanda,2003,21000.0,8590000.0,17.6,244.5
