,Country,country_code,country,year,HIV_deaths,population,health_budget_prop,HIV_mortality
367,Somalia,SOM,Somalia,2008,3100.0,11700000.0,,26.5
387,Sudan,SDN,Sudan,2008,5700.0,33600000.0,9.8,17.0
347,Senegal,SEN,Senegal,2008,1800.0,12000000.0,11.9,15.0
87,Comoros,COM,Comoros,2008,60.0,629000.0,11.7,9.5
237,Madagascar,MDG,Madagascar,2008,1700.0,20900000.0,14.6,8.1
438,Zimbabwe,ZWE,Zimbabwe,2009,98000.0,13100000.0,,748.1
148,Eswatini,SWZ,Eswatini,2009,8100.0,1110000.0,10.1,729.7
218,Lesotho,LSO,Lesotho,2009,14000.0,1980000.0,10.3,707.1
378,South Africa,ZAF,South Africa,2009,340000.0,51700000.0,11.4,657.6
248,Malawi,MWI,Malawi,2009,55000.0,14400000.0,14.2,381.9
428,Zambia,ZMB,Zambia,2009,45000.0,13500000.0,15.7,333.3
288,Mozambique,MOZ,Mozambique,2009,74000.0,22400000.0,12.2,330.4
298,Namibia,NAM,Namibia,2009,6600.0,2080000.0,12.1,317.3
28,Botswana,BWA,Botswana,2009,5800.0,1990000.0,17.0,291.5
68,Central African Republic,CAF,Central African Republic,2009,11000.0,4530000.0,8.4,242.8
398,Tanzania,TZA,Tanzania,2009,96000.0,43600000.0,12.9,220.2
418,Uganda,UGA,Uganda,2009,69000.0,31500000.0,13.6,219.0
208,Kenya,KEN,Kenya,2009,80000.0,40400000.0,7.3,198.0
58,Cameroon,CMR,Cameroon,2009,37000.0,19100000.0,7.3,193.7
48,Burundi,BDI,Burundi,2009,15000.0,8950000.0,8.1,167.6
108,Cote d'Ivoire,CIV,Cote d'Ivoire,2009,36000.0,22000000.0,5.1,163.6
158,Gabon,GAB,Gabon,2009,2400.0,1660000.0,6.6,144.6
318,Nigeria,NGA,Nigeria,2009,210000.0,162000000.0,5.9,129.6
98,Congo (Brazzaville),COG,"Congo, Rep.",2009,5100.0,4280000.0,5.3,119.2
408,Togo,TGO,Togo,2009,7700.0,6550000.0,15.4,117.6
118,Djibouti,DJI,Djibouti,2009,1000.0,912000.0,14.2,109.6
78,Chad,TCD,Chad,2009,11000.0,11900000.0,3.3,92.4
228,Liberia,LBR,Liberia,2009,3600.0,3940000.0,13.8,91.4
328,Rwanda,RWA,Rwanda,2009,8500.0,10100000.0,20.1,84.2
198,Guinea-Bissau,GNB,Guinea-Bissau,2009,1200.0,1530000.0,4.1,78.4
178,Ghana,GHA,Ghana,2009,18000.0,24900000.0,12.4,72.3
138,Eritrea,ERI,Eritrea,2009,1700.0,2890000.0,3.6,58.8
128,Equatorial Guinea,GNQ,Equatorial Guinea,2009,600.0,1140000.0,7.0,52.6
8,Angola,AGO,Angola,2009,11000.0,22400000.0,10.1,49.1
278,Mauritius,MUS,Mauritius,2009,600.0,1280000.0,8.3,46.9
188,Guinea,GIN,Guinea,2009,4700.0,10100000.0,1.8,46.5
358,Sierra Leone,SLE,Sierra Leone,2009,2800.0,6060000.0,6.4,46.2
38,Burkina Faso,BFA,Burkina Faso,2009,7100.0,15700000.0,13.6,45.2
268,Mauritania,MRT,Mauritania,2009,1200.0,3280000.0,7.3,36.6
338,Sao Tome and Principe,STP,Sao Tome and Principe,2009,60.0,178000.0,13.2,33.7
168,Gambia,GMB,Gambia,2009,600.0,1870000.0,11.3,32.1
258,Mali,MLI,Mali,2009,4400.0,15400000.0,10.0,28.6
18,Benin,BEN,Benin,2009,2700.0,9510000.0,9.2,28.4
308,Niger,NER,Niger,2009,4500.0,15900000.0,11.1,28.3
368,Somalia,SOM,Somalia,2009,3100.0,12000000.0,,25.8
388,Sudan,SDN,Sudan,2009,5700.0,34600000.0,9.9,16.5
348,Senegal,SEN,Senegal,2009,2000.0,12300000.0,11.6,16.3
88,Comoros,COM,Comoros,2009,60.0,642000.0,7.3,9.3
238,Madagascar,MDG,Madagascar,2009,1700.0,21500000.0,14.7,7.9
149,Eswatini,SWZ,Eswatini,2010,7800.0,1110000.0,10.1,702.7
439,Zimbabwe,ZWE,Zimbabwe,2010,78000.0,13400000.0,,582.1
379,South Africa,ZAF,South Africa,2010,300000.0,52300000.0,11.9,573.6
249,Malawi,MWI,Malawi,2010,49000.0,14800000.0,14.2,331.1
299,Namibia,NAM,Namibia,2010,5700.0,2110000.0,12.1,270.1
419,Uganda,UGA,Uganda,2010,66000.0,32400000.0,12.1,203.7
399,Tanzania,TZA,Tanzania,2010,91000.0,44800000.0,13.8,203.1
319,Nigeria,NGA,Nigeria,2010,210000.0,167000000.0,4.4,125.7
329,Rwanda,RWA,Rwanda,2010,7300.0,10300000.0,20.1,70.9
279,Mauritius,MUS,Mauritius,2010,600.0,1280000.0,9.8,46.9
359,Sierra Leone,SLE,Sierra Leone,2010,2700.0,6220000.0,6.4,43.4
269,Mauritania,MRT,Mauritania,2010,1300.0,3390000.0,7.3,38.3
339,Sao Tome and Principe,STP,Sao Tome and Principe,2010,60.0,182000.0,13.2,33.0
369,Somalia,SOM,Somalia,2010,3100.0,12300000.0,,25.2
309,Niger,NER,Niger,2010,4000.0,16500000.0,11.1,24.2
389,Sudan,SDN,Sudan,2010,5600.0,35400000.0,9.8,15.8
349,Senegal,SEN,Senegal,2010,1800.0,12600000.0,11.6,14.3
9,Angola,AGO,Angola,2010,,23300000.0,7.2,0.0
19,Benin,BEN,Benin,2010,,9800000.0,9.6,0.0
29,Botswana,BWA,Botswana,2010,,2030000.0,17.0,0.0
39,Burkina Faso,BFA,Burkina Faso,2010,,16200000.0,13.5,0.0
49,Burundi,BDI,Burundi,2010,,9380000.0,8.1,0.0
59,Cameroon,CMR,Cameroon,2010,,19700000.0,8.5,0.0
69,Central African Republic,CAF,Central African Republic,2010,,4490000.0,8.4,0.0
79,Chad,TCD,Chad,2010,,12300000.0,3.3,0.0
89,Comoros,COM,Comoros,2010,,655000.0,13.1,0.0
99,Congo (Brazzaville),COG,"Congo, Rep.",2010,,4460000.0,5.3,0.0
109,Cote d'Ivoire,CIV,Cote d'Ivoire,2010,,22500000.0,5.1,0.0
119,Djibouti,DJI,Djibouti,2010,,930000.0,14.2,0.0
129,Equatorial Guinea,GNQ,Equatorial Guinea,2010,,1190000.0,7.0,0.0
139,Eritrea,ERI,Eritrea,2010,,2950000.0,3.6,0.0
159,Gabon,GAB,Gabon,2010,,1720000.0,6.6,0.0
169,Gambia,GMB,Gambia,2010,,1930000.0,11.3,0.0
179,Ghana,GHA,Ghana,2010,,25500000.0,12.1,0.0
189,Guinea,GIN,Guinea,2010,,10400000.0,1.8,0.0
199,Guinea-Bissau,GNB,Guinea-Bissau,2010,,1570000.0,4.1,0.0
209,Kenya,KEN,Kenya,2010,,41600000.0,7.3,0.0
219,Lesotho,LSO,Lesotho,2010,,2000000.0,13.4,0.0
229,Liberia,LBR,Liberia,2010,,4060000.0,11.1,0.0
239,Madagascar,MDG,Madagascar,2010,,22200000.0,14.7,0.0
259,Mali,MLI,Mali,2010,,15900000.0,10.6,0.0
289,Mozambique,MOZ,Mozambique,2010,,23000000.0,12.2,0.0
409,Togo,TGO,Togo,2010,,6730000.0,15.4,0.0
429,Zambia,ZMB,Zambia,2010,,14000000.0,15.6,0.0
